season,team_id,wins,losses,wl%,asts,rebs,orebs,tovs,fga,fg%,2pa,2p%,3pa,3p%,fta,ft%,pfs,pts
2018-19,1610612764,32,50,0.39,26,42,9,14,90,0.468,57,0.542,33,0.341,23,0.768,20,114
2018-19,1610612765,41,41,0.5,22,45,11,13,88,0.44,54,0.498,34,0.348,23,0.747,22,107
2018-19,1610612766,39,43,0.476,23,43,9,12,89,0.448,56,0.505,33,0.351,23,0.797,18,110
2019-20,1610612737,20,47,0.299,24,43,9,16,90,0.449,54,0.526,36,0.333,23,0.79,23,111
2019-20,1610612738,43,21,0.672,22,46,10,13,89,0.459,55,0.518,34,0.363,22,0.801,21,113
2019-20,1610612739,19,46,0.292,23,44,10,16,87,0.458,56,0.517,31,0.351,19,0.758,18,106
2019-20,1610612740,28,36,0.438,27,47,11,16,92,0.462,55,0.523,37,0.372,23,0.729,21,116
2019-20,1610612741,22,43,0.338,23,41,10,15,88,0.447,53,0.512,35,0.348,20,0.755,21,106
2019-20,1610612742,40,27,0.597,24,47,10,12,90,0.462,49,0.54,41,0.369,23,0.773,19,116
2019-20,1610612743,43,22,0.662,26,44,10,13,88,0.471,58,0.529,30,0.358,20,0.775,20,110
2019-20,1610612744,15,50,0.231,25,42,10,14,88,0.438,57,0.495,31,0.334,23,0.803,20,106
2019-20,1610612745,40,24,0.625,21,44,10,14,90,0.454,46,0.555,44,0.348,26,0.787,21,118
2019-20,1610612746,44,20,0.688,23,48,11,14,89,0.464,56,0.522,33,0.366,26,0.792,22,116
2019-20,1610612747,49,14,0.778,25,46,10,15,88,0.485,57,0.556,31,0.355,23,0.73,20,114
2019-20,1610612748,41,24,0.631,26,44,8,14,84,0.47,50,0.529,34,0.383,25,0.778,20,112
2019-20,1610612749,53,12,0.815,25,51,9,14,91,0.477,53,0.564,38,0.356,24,0.742,19,118
2019-20,1610612750,19,45,0.297,23,44,10,15,91,0.441,52,0.52,39,0.336,25,0.753,21,113
2019-20,1610612751,30,34,0.469,24,48,10,15,90,0.444,53,0.517,37,0.34,24,0.744,20,110
2019-20,1610612752,21,45,0.318,22,46,12,14,89,0.447,61,0.497,28,0.337,23,0.694,22,105
2019-20,1610612753,30,35,0.462,24,44,10,12,88,0.442,56,0.5,32,0.341,22,0.77,17,106
2019-20,1610612754,39,26,0.6,25,42,8,13,88,0.477,61,0.527,27,0.363,19,0.787,19,109
